cenario,metodo,encontrou,passos,custo,tempo_ms,expandidos,gerados,fronteira_max,caminho
Quintal simples,BFS,True,9,10,0.0883,20,23,3,"(1,1) (1,2) (1,3) (1,4) (1,5) (1,6) (2,6) (3,6) (4,6) (5,6)"
Quintal simples,DFS,True,11,15,0.0783,15,17,4,"(1,1) (2,1) (3,1) (3,2) (3,3) (4,3) (5,3) (5,4) (6,4) (6,5) (6,6) (5,6)"
Quintal simples,Gulosa,True,9,10,0.0542,10,13,4,"(1,1) (1,2) (1,3) (1,4) (1,5) (1,6) (2,6) (3,6) (4,6) (5,6)"
Quintal simples,A*,True,9,10,0.0907,16,17,3,"(1,1) (1,2) (1,3) (1,4) (1,5) (1,6) (2,6) (3,6) (4,6) (5,6)"
Quintal intermediário,BFS,True,14,14,0.1738,39,41,5,"(1,1) (1,2) (1,3) (1,4) (2,4) (3,4) (3,5) (3,6) (4,6) (5,6) (6,6) (7,6) (7,7) (7,8) (8,8)"
Quintal intermediário,DFS,True,16,19,0.0787,18,22,5,"(1,1) (2,1) (3,1) (3,2) (4,2) (5,2) (5,1) (6,1) (7,1) (7,2) (7,3) (7,4) (7,5) (7,6) (7,7) (7,8) (8,8)"
Quintal intermediário,Gulosa,True,14,14,0.0722,15,20,6,"(1,1) (1,2) (1,3) (1,4) (2,4) (3,4) (3,5) (3,6) (4,6) (5,6) (6,6) (7,6) (7,7) (7,8) (8,8)"
Quintal intermediário,A*,True,14,14,0.1088,20,26,7,"(1,1) (1,2) (1,3) (1,4) (2,4) (3,4) (3,5) (3,6) (4,6) (5,6) (6,6) (7,6) (7,7) (7,8) (8,8)"
Quintal complexo: passos versus custo,BFS,True,17,65,0.3491,77,84,7,"(1,1) (1,2) (1,3) (1,4) (1,5) (1,6) (1,7) (1,8) (1,9) (1,10) (1,11) (1,12) (1,13) (1,14) (1,15) (1,16) (1,17) (1,18)"
Quintal complexo: passos versus custo,DFS,True,41,41,0.5583,122,128,8,"(1,1) (2,1) (3,1) (4,1) (5,1) (6,1) (7,1) (8,1) (9,1) (10,1) (11,1) (12,1) (13,1) (13,2) (13,3) (13,4) (13,5) (13,6) (13,7) (13,8) (13,9) (13,10) (13,11) (13,12) (13,13) (13,14) (13,15) (13,16) (13,17) (13,18) (12,18) (11,18) (10,18) (9,18) (8,18) (7,18) (6,18) (5,18) (4,18) (3,18) (2,18) (1,18)"
Quintal complexo: passos versus custo,Gulosa,True,17,65,0.0847,18,19,2,"(1,1) (1,2) (1,3) (1,4) (1,5) (1,6) (1,7) (1,8) (1,9) (1,10) (1,11) (1,12) (1,13) (1,14) (1,15) (1,16) (1,17) (1,18)"
Quintal complexo: passos versus custo,A*,True,21,21,0.1193,23,26,4,"(1,1) (2,1) (3,1) (3,2) (3,3) (3,4) (3,5) (3,6) (3,7) (3,8) (3,9) (3,10) (3,11) (3,12) (3,13) (3,14) (3,15) (3,16) (3,17) (3,18) (2,18) (1,18)"
